tag,n_rows,n_speakers,mean_duration_s
words tumbling faster,340,172,13.478
cry,335,154,14.231
helpfully,319,157,17.966
reassuring,314,168,17.519
chuckling,313,170,15.126
raspy,310,119,14.013
snort,310,158,14.480
giggling,310,127,15.099
chuckles,308,164,16.314
gently,308,151,16.213
very melancholic,306,90,14.675
barely audible,303,162,14.776
steadier,301,131,16.083
trembling,300,145,15.525
breathlessly,299,132,14.907
voice rising,298,171,15.046
more gently,297,164,15.571
compassionately,296,126,14.395
excitedly,295,148,15.189
breathy,293,112,14.042
building intensity,290,171,15.720
very meekly,289,94,14.091
sincere,288,116,13.706
getting louder,286,135,15.729
playfully,276,153,14.406
thoughtful pause,275,151,15.781
melancholic,273,107,14.498
sighs heavily,272,161,18.552
voice strengthening,269,143,14.358
triumphant,268,149,15.291
wheezy,267,109,13.973
nervously,265,153,15.997
shaky voice,265,106,14.488
gratefully,264,137,15.971
tenderly,263,126,15.217
gleefully,261,144,14.717
hoarse,261,107,14.106
hopefully,260,138,15.751
sharp exhale,259,153,15.513
politely,258,114,13.946
sniffling,254,124,15.928
scoff,248,142,13.245
sincerely,248,146,16.890
voice rising with each word,248,140,13.430
cry loudly,248,124,14.052
meekly,247,109,12.879
defensive,246,145,16.151
smooth,245,93,13.957
quietly,245,133,15.114
shaky,245,101,13.993
calmly,243,146,17.258
regular voice,242,115,14.399
instructive,241,108,14.586
"normal voice, uncertain",240,114,14.158
more animated,240,134,15.353
eagerly,237,141,14.220
surprised,237,145,16.191
scornfully,234,105,13.505
building excitement,234,122,15.272
voice growing stronger,233,126,13.756
giggle,232,140,13.560
voice dropping to whisper,232,128,14.333
voice rising with excitement,232,146,14.053
hesitant,231,141,16.154
clears throat,230,141,16.503
whimper,229,140,14.055
sympathetically,228,155,16.860
reassuringly,225,137,16.430
reassuring tone,224,146,16.581
soft chuckle,223,115,15.681
urgently,220,138,15.564
apologetically,218,145,16.534
incredulous,217,135,16.232
rapidly,215,120,13.579
voice cracking slightly,214,121,14.084
narrating,214,111,14.038
slower,213,120,18.174
"normal voice, quickly",212,108,13.143
hollow laugh,211,142,16.295
heavy sigh,211,135,16.767
gasps,210,124,15.065
softly,207,130,13.836
suddenly quiet,205,129,12.368
voice soaring,205,133,14.991
muttering,204,129,16.507
curiously,203,126,15.493
grunt,200,129,14.705
hmmm,200,88,14.176
breath,200,103,14.714
bitterly,199,126,15.376
spitefully,199,97,13.920
joyfully,194,126,14.529
shaky breath,194,116,15.931
in disbelief,194,128,15.328
more urgently,193,126,14.962
dreamily,192,112,15.705
cackling,192,109,16.080
sharp intake,191,130,15.170
"regular voice, frustrated",190,105,14.178
scheming,190,96,13.967
hopeful,186,120,15.721
emotionally,185,109,15.485
sob,183,119,15.237
accusingly,182,119,15.737
suddenly high energy,181,126,11.822
suddenly quickly,179,117,11.375
exhales sharply,177,124,14.431
more desperately,177,117,14.863
voice brightening,176,118,14.189
more forcefully,174,129,14.736
relieved sigh,172,115,16.303
snorts,171,117,15.917
exhale,171,128,14.104
laughing heartily,169,119,15.675
brightening,169,103,15.553
more enthusiastically,168,114,15.508
squealing,167,96,14.435
voice cracking with emotion,166,104,13.848
soft laugh,165,96,16.650
suddenly confident,165,105,12.383
anxiously,163,109,15.178
"normal voice, excited",163,93,13.277
nasal,163,91,13.455
cackle,162,115,13.822
more confidently,162,113,16.191
encouragingly,162,109,16.332
voice rising sharply,160,103,13.635
suddenly high pitched,160,109,12.077
concerned,159,114,16.711
voice fading,158,112,15.013
suddenly pausing,156,107,12.381
gulp,155,106,13.874
relieved exhale,154,111,15.038
gentle laugh,154,104,15.508
gentler,152,99,15.959
building enthusiasm,152,106,15.554
frantically,151,100,13.819
laughs nervously,151,110,13.785
long exhale,150,114,17.748
long sigh,150,110,17.017
suddenly whispering,150,103,12.365
appreciatively,149,111,15.126
voice breaking slightly,149,99,13.753
shriek,148,106,12.316
wheeze,148,109,13.955
contemplative,148,97,15.869
sharp laugh,148,101,13.950
groaning,147,111,15.400
voice catching,145,111,15.495
high energy,145,101,11.654
hiss,144,110,13.382
nervous chuckle,144,107,14.692
matter-of-fact,143,105,15.894
choking up,143,96,15.840
shuddering breath,142,97,16.481
words tumbling out faster,142,107,13.174
whispers,142,93,16.587
increasingly animated,141,106,15.835
voice dropping,141,106,14.614
voice speeding up,140,91,12.460
hiccup,140,106,13.661
contentedly,140,106,14.858
measured pace,139,106,16.107
growl,139,99,13.815
mysteriously,139,99,16.262
breathless,139,95,15.133
zero energy,139,100,11.799
voice rising with passion,138,96,13.647
jubilantly,138,100,13.539
suddently serious,136,103,11.408
voice shaking,136,106,15.350
wearily,135,104,16.329
scoffs,135,105,16.620
pleading tone,135,103,14.520
resigned,135,101,16.722
chuckling warmly,134,99,14.972
sighs deeply,133,102,17.975
mockingly,133,107,16.089
giggling uncontrollably,133,87,15.377
suspicious,132,97,16.783
professional tone,132,108,16.801
sniff,132,100,12.798
voice trembling,131,94,15.032
more energetically,131,99,13.909
"normal voice, tired",131,89,14.606
overwhelmed,131,89,16.755
measured tone,131,97,17.166
really excited suddenly,130,99,11.812
whimpering,129,95,15.509
defensively,129,96,15.075
voice climbing higher,129,91,14.058
nervous giggle,129,91,14.849
getting faster,129,96,14.594
hysterical laugh,128,105,13.997
voice lifting,128,89,14.784
bitter chuckle,128,95,14.660
"normal voice, impressed",128,93,13.776
exuberantly,127,101,14.175
frustrated sigh,126,91,15.262
sighing,126,91,14.984
sympathetic,126,93,15.902
voice trailing off,125,86,14.099
snarl,125,85,13.879
touched,123,78,16.318
skeptically,123,94,16.353
through tears,122,84,16.840
through gritted teeth,121,93,15.418
laughs,121,93,15.479
gasping,121,83,14.890
speaking slowly,121,94,13.733
almost inaudible,120,89,13.899
wail,120,96,13.381
quivering,120,95,15.179
skeptical,118,92,16.563
chuckles softly,118,96,17.126
more passionately,118,91,15.376
moan,118,93,13.615
quick breath,117,91,14.367
whistle,116,91,13.793
amazed,116,83,15.735
dramatically,116,93,15.511
trembling whisper,115,90,15.099
melodic,115,94,12.691
chuckle softly,115,90,13.021
exhales slowly,115,89,14.156
deadpan,114,85,14.950
quickening pace,114,92,14.946
snicker,114,85,12.572
voice thick with emotion,114,88,15.050
belch,113,81,14.227
decisively,113,84,15.393
pleased,113,85,17.497
harsh laugh,113,90,14.489
hum melodically,113,91,13.096
voice warming,112,76,14.410
patiently,112,90,16.758
euphorically,112,83,14.342
sharp inhale,112,82,14.678
demanding,112,86,16.634
"regular voice, uncertain",111,78,13.996
steadying breath,111,77,16.109
carefully,111,80,17.210
laugh heartily,110,87,13.255
tsk,110,86,13.567
earnestly,110,89,14.980
emotional,110,73,16.239
sarcastically sweet,110,81,15.978
seriously,110,82,15.221
"normal voice, questioning",109,70,13.858
angrily,109,79,14.613
grumble,109,81,12.496
tsk tsk,109,82,12.858
whistle sharply,109,87,12.549
voice dropping dangerously,109,79,14.907
giggle softly,108,86,12.471
hmm approvingly,108,85,12.650
panicked,107,83,15.063
howl,107,85,12.931
ahem,107,81,13.343
inhale,106,83,13.130
whoop,106,83,12.634
sigh contentedly,106,83,12.924
slurps noisily,106,83,13.658
ecstatically,106,89,13.815
shaky exhale,106,81,16.689
efficiently,106,71,18.817
more slowly,105,83,15.244
snap,105,86,11.792
eerily calm,105,83,14.428
whooping,105,81,15.209
tut,105,83,12.492
inhale in shock,105,72,11.837
sputter,105,90,12.403
wavering,105,85,14.970
suck in breath,105,87,12.836
conspiratorially,105,83,15.188
laughing through tears,105,74,16.073
wheeze laugh,105,91,13.119
voice getting louder,105,72,14.250
ahems politely,104,87,13.141
strain,104,80,12.771
gasp excitedly,104,79,12.033
understanding,104,83,17.624
voice breaking with emotion,104,79,13.667
hearty laugh,104,74,14.572
bubbling over,104,77,14.219
brightly,104,78,15.556
blow kiss,104,80,12.748
hum thoughtfully,103,78,13.129
wistfully,103,85,14.931
sing-song voice,103,74,15.553
whistle tune,103,86,13.140
croak,103,81,12.669
"normal voice, relieved",103,74,13.901
encouraging,102,78,16.568
warning tone,102,79,16.614
cough violently,102,74,13.649
snort laugh,102,82,12.404
voice becoming serious,102,70,13.460
wheeze weakly,101,81,12.313
huff,101,84,12.059
choke,101,79,12.552
shrieking,101,71,14.604
in awe,101,76,15.955
inhales in surprise,101,78,12.629
click tongue,101,77,12.598
gasping breath,101,71,15.574
more controlled,101,83,14.032
exclaim delightedly,101,86,12.025
puff,100,79,12.594
matter-of-factly,100,83,17.072
steadying,100,78,16.944
gasp sharply,100,76,11.759
pant,100,82,12.190
hmph,100,79,12.012
half-laughing,100,75,13.322
sweetly,100,70,14.243
dismissively,99,75,13.947
cute laugh,99,79,12.606
whine,99,80,13.033
incredulous laugh,99,79,14.970
considering,99,81,15.536
almost shouting,99,76,13.668
spit,99,84,13.411
shocked,99,78,16.193
murmur,99,81,12.174
shush,99,85,12.960
cough dryly,98,86,13.319
eek,98,78,10.981
tiredly,98,76,15.846
pop cheek,98,82,12.490
kisses teeth,98,80,12.882
hum happily,98,79,13.324
voice getting quieter,97,69,14.205
phew,97,74,12.456
shiver,97,73,12.778
giggle joyfully,97,78,12.174
ah ah ah,97,78,12.504
rapid-fire delivery,97,83,13.174
elated,97,75,15.245
breathes out sharply,97,75,12.296
chuckling softly,97,72,15.629
moan weakly,97,80,13.188
roar,96,82,13.190
mmm,96,78,12.777
groan in agony,96,77,13.485
smack lips,96,74,12.148
purr,96,75,13.399
pfft,96,81,11.973
voice softening slightly,96,68,14.673
gasp for breath,95,77,12.721
blow nose,95,78,13.002
defeated whisper,95,77,16.697
sniffs sharply,95,75,13.329
sobbing,95,72,15.481
yelp,95,78,12.068
sneeze violently,95,76,14.169
lowering voice,95,82,13.937
gargle,95,82,12.704
mutter,95,74,12.495
hum,95,73,12.890
coldly,95,74,15.328
whistle low,95,80,12.091
ughh,94,77,13.211
explosive,94,75,14.899
bark,94,74,11.671
psst psst,94,73,12.816
voice wavering,94,80,14.117
while laughing,93,75,13.323
weep,93,71,13.031
snicker playfully,93,73,12.192
retch,93,74,13.004
worried,93,79,15.994
cute giggle,93,69,12.385
breathe shallowly,93,72,12.630
voice rising slightly,93,72,14.106
chesty cough,92,72,13.298
struggle to breathe,92,69,13.158
buzz,92,76,12.652
smooch,92,71,12.644
words rushing together,92,73,13.884
hoot,91,73,12.129
slurp,91,76,13.969
giddily,91,67,14.292
flatly,90,76,14.567
faster,90,65,13.898
yodel,90,75,12.947
fierce whisper,90,71,15.652
honk,90,74,12.424
hum playfully,89,72,13.670
sing softly,89,76,12.903
energetically,89,70,14.243
squeak,89,76,12.234
gag,89,69,13.616
"normal voice, confused",89,69,13.375
chew noisily,88,77,13.441
swallow,88,74,12.435
woohoo,88,70,12.098
exhausted sigh,88,69,16.360
joyfully shouting,88,64,14.476
low energy,88,72,12.770
laughing while talking,88,74,13.195
lighter mood,88,70,12.871
cheer,87,69,12.640
soothingly,87,79,15.383
sneeze delicately,87,72,12.826
more sarcastically,87,70,12.746
slowing down,87,71,13.885
ironic,86,72,12.640
no enthusiasm,86,74,12.909
gradually louder,86,66,14.236
satire,86,69,12.724
gentle tone,86,72,15.893
thoughtful hum,86,74,15.395
yike,86,72,12.350
ecstatic,86,67,14.549
cries out,86,71,11.632
shouting joyfully,86,71,14.698
crescendoing,86,63,15.428
exasperated,85,79,17.468
slower pace,85,65,17.113
steadily,85,73,14.729
hush,85,66,12.481
teasingly,85,70,14.739
optimistically,85,75,14.608
sniffle softly,85,74,12.356
mock serious,85,72,14.929
yay,85,71,12.718
informatively,85,67,17.564
extremely energetic suddenly,84,68,11.491
oof,84,65,12.449
tearfully,84,65,15.217
affectionately,84,69,15.923
peacefully,84,64,15.429
bahhh,84,67,11.571
contented sigh,84,67,16.188
sneeze repeatedly,84,67,15.283
grateful,84,68,15.985
light chuckle,84,69,13.342
drone,83,66,13.208
more warmly,83,69,15.925
more steadily,83,67,15.443
laughing warmly,83,65,16.130
frustrated groan,82,70,15.961
kiss,82,72,13.029
quavering,82,65,14.244
bellowing,81,68,15.594
depressed,81,70,13.226
exhausted whisper,81,65,16.375
sarcastic suddenly,81,66,12.525
conspiratorial whisper,81,64,14.365
more excitedly,80,64,14.264
satisfied,80,67,17.434
tone suddenly flat,80,69,11.777
yowl,80,73,12.950
diplomatically,79,69,15.151
giggles,79,59,14.740
"regular voice, laughing",79,64,15.201
delightedly,78,71,13.733
more hopefully,78,70,15.419
kindly,78,66,15.806
sniffles,78,63,16.195
squeals,78,59,13.510
dryly,78,67,14.383
shakily,78,65,16.549
dry chuckle,77,66,16.264
suck,77,71,12.890
voice dropping to a whisper,76,58,14.385
cautiously,76,67,17.454
enthusiastic,76,68,15.397
more emotionally,76,60,16.057
voice rising triumphantly,75,59,15.345
questioning,75,66,15.316
philosophical tone,75,63,16.732
pausing longer,74,63,13.448
impressed,74,61,16.135
increasingly excited,74,61,15.341
laughs heartily,74,59,15.926
warming up,74,59,15.689
cautiously optimistic,74,64,16.607
venomously,74,60,14.804
more softly,74,63,16.627
voice trembling with emotion,74,61,14.123
screaming,73,51,14.694
impressed whistle,73,56,16.724
whispered excitement,73,55,14.652
voice barely audible,73,62,14.753
building confidence,72,59,15.467
scream,72,62,12.231
exhaggerated low pitch,72,65,12.699
forcefully,72,59,12.974
lighter tone,72,62,14.848
contemplatively,72,54,16.431
casually,71,58,13.962
breathing heavily,71,58,16.254
choked sob,71,62,15.838
reverently,71,63,15.371
laugh histerically,71,43,15.234
commanding,71,58,13.245
reluctantly,71,62,14.714
cackles,71,63,15.777
increasingly urgent,71,65,11.845
meow,71,58,13.426
more calmly,70,62,17.199
resigned sigh,70,59,17.028
building energy,70,54,15.537
voice swelling,70,63,15.687
lovingly,70,59,15.005
teasing,70,55,15.190
normal volume,70,55,15.105
slightly faster,70,62,11.747
thrilled,69,56,14.646
soft sob,69,52,16.688
encouraging tone,69,57,16.492
words tumbling out faster with panic,69,60,12.400
professional,69,60,18.296
rustling pages,69,55,13.217
more quickly,69,58,11.115
suddenly booming,68,55,12.431
grudgingly,68,54,14.325
precisely,68,61,15.449
grumbling,68,61,16.069
voice trembling with fear,68,58,13.365
hisses,68,58,17.364
passionate,68,49,16.079
tweet,67,56,12.313
rapidly impatient,67,60,11.327
becoming more commanding and assertive,67,61,13.419
purposefully low voice,67,60,12.632
weakly,66,55,14.057
getting quieter,66,60,16.434
sadly,66,53,14.548
faintly amused,66,52,12.323
increasingly desperate,66,56,12.711
more emotional,66,57,13.680
sighs contentedly,66,53,16.842
voice sparkling,66,59,15.550
in a sing-song voice,66,51,15.130
warm chuckle,66,52,15.227
"starting slow, then getting quick",65,56,13.106
laughs bitterly,65,62,17.456
clearly uncertain,65,54,13.013
speeding at the end,65,56,10.968
defeated,65,55,17.616
dry laugh,65,56,15.933
impatiently,65,55,14.484
exasperated sigh,65,57,16.983
each word getting more happy,65,53,11.876
businesslike,65,61,16.553
hesitating tone,65,55,12.348
merrily,64,57,13.560
trailing off uncertainly,64,53,13.865
voice dripping with sarcasm,64,49,14.209
delighted squeal,64,55,15.514
getting really sad,64,53,13.783
loud laugh,64,51,14.366
noticeably tense,64,54,11.954
more energetic,64,56,12.174
"starting calm, escalating to outrage",63,55,13.283
faintly hopeful,63,56,12.787
increasingly relaxed,63,57,12.735
roaring,63,52,15.332
"starting angry, softening to regret",63,53,12.886
clearly,63,51,15.230
far slower,63,51,14.843
"tone turning distant, as if distracted",62,55,12.920
suddenly dropping in pitch,62,54,12.145
groans loudly,62,54,18.244
deliberately smoother,62,53,12.632
"speaking quickly, then slowing down",62,53,13.036
voice dropping conspiratorially,62,56,14.010
subtly mocking,62,55,12.356
wailing,62,47,16.006
stunned silence,62,53,15.427
triumphant shout,62,51,15.636
voice darkening with menace,62,51,13.280
tone filling with awe,62,50,13.449
breathing more heavily with each word,62,53,14.498
slowing down as if realizing something,62,55,13.042
voice fading into a whisper at the end,62,50,13.051
uncertainly,61,52,13.886
every word drawn out more,61,53,13.827
deeply regretful,61,57,12.488
rushing to finish sentence,61,54,11.612
gently softer,61,52,13.185
more drowsily,61,51,13.013
tone brightening with sudden hope,61,57,11.931
sharply angrier,61,52,12.248
deeper voice,61,50,13.194
helpful tone,61,54,17.942
softly pleading,61,51,13.099
voice tightening as if holding back tears,61,52,12.893
growing more trembly with emotion,60,56,12.973
getting warmer and friendly,60,56,13.033
voice swelling with pride,60,53,15.102
"starting whispered, then building to a shout",60,49,10.597
"slowing down, becoming sadder every syllable",60,52,12.761
noticeably calmer,60,50,12.576
melodiously,60,54,14.271
syllables becoming more slurred through the phrase,60,50,12.411
no longer stern,60,51,12.722
warm tone,60,53,14.129
rhythm getting faster,60,53,12.573
voice trembling with laughter,60,50,12.919
sharp breath,60,53,13.314
normal accent,60,42,13.539
"starting smooth, ending in a growl",59,51,12.751
getting sleepy,59,50,14.454
almost robotic,59,51,13.498
voice becoming urgent,59,50,13.615
less expressive,59,51,12.620
tone hardening,59,49,12.918
lighter,59,48,15.417
deliberately colder,59,51,11.824
somewhat hesitant,59,54,13.371
explosive joy,59,51,14.630
getting very sleepy,59,51,14.303
clearly frustrated,59,52,12.314
distinctly joyful,59,49,12.016
indignantly,59,55,14.006
no longer quiet,58,51,11.947
tone turning mocking halfway through,58,47,13.453
syllables lengthening,58,50,13.998
"normal voice, worried",58,51,12.865
hopeful whisper,58,46,15.536
breathless grunt after each word,58,49,14.099
"starting casual, becoming deadly serious",58,52,13.480
confidentially,58,49,16.182
tone flattening with boredom,58,54,13.250
steadying slightly,58,55,16.635
booming,58,51,12.517
radiantly,58,46,14.030
tone turning sly and secretive,58,45,12.606
getting very excited,58,49,13.105
regaining confidence,58,54,12.725
quietly furious,58,52,12.667
formally,58,51,14.085
losing momentum,58,54,13.327
uncertain,58,53,15.725
voice warming slightly,58,48,13.955
slowing dramatically as if in disbelief,58,53,13.658
mildly annoyed,58,53,12.437
tone turning childlike and innocent,57,50,11.967
scoffing,57,49,15.223
building rage,57,47,15.410
slightly higher,57,51,12.191
getting emotional,57,47,17.515
visibly relaxed,57,50,11.505
whimpers,57,48,15.507
getting less angry,57,48,12.772
becoming increasingly monotone,57,46,13.020
faintly menacing,57,46,12.891
voice becoming hesitant and uncertain,57,43,13.304
short pause after each word,57,46,13.156
pitch rising with nervousness,57,50,11.706
steadily firmer,57,49,12.258
words becoming more military,57,51,12.719
gradually happier,57,47,13.623
satisfied sigh,57,45,17.013
abruptly louder,57,51,11.252
growing higher pitched,56,50,12.356
visibly nervous,56,46,12.910
panicking,56,53,15.858
gradually rising in pitch,56,48,12.398
suddenly cutting off mid-word,56,50,11.781
"speaking faster, tripping over words",56,53,13.029
innocently,56,50,13.545
words getting more clipped,56,50,12.423
soft sigh,56,41,16.944
warmer,56,52,15.508
subtly arrogant,56,50,12.566
"beginning confident, then trailing into uncertainty",56,49,14.373
upbeat,56,48,13.907
soft gasp,56,49,16.395
more detached,56,48,12.587
excitedly building,56,45,14.657
steadily sadder,56,50,13.699
firm,56,43,16.116
"starting in a whisper, then getting louder",56,51,11.975
"normal voice, satisfied",56,48,12.971
sharply quieter,56,46,12.179
words becoming bitter and tight,56,47,12.867
voice hardening again,56,46,13.986
"speaking as if out of breath, then regaining control",55,47,13.824
even more quickly,55,47,11.904
more excited,55,40,14.695
faintly trembling,55,46,12.661
getting grumpy,55,48,13.074
snorting,55,49,15.252
increasingly agitated,55,50,15.184
getting more angry,55,48,12.345
trembling voice,55,49,17.438
"normal voice, exhausted",55,47,14.764
sharply,55,48,14.305
words becoming rushed with excitement,55,48,12.024
becoming raspier toward the end,55,52,12.851
speeding up with excitement,55,47,14.674
voice tightening with suppressed anger,54,51,13.559
thunderous roar,54,51,13.619
voice rising defensively,54,42,13.704
voice getting higher,54,45,13.614
shocked gasp,54,50,15.857
joyously,54,46,13.972
getting really happy,54,47,12.539
voice growing warmer,54,45,13.697
each word becoming more incoherent,54,50,13.753
unusually cheerful,54,44,12.019
chuckles darkly,54,50,17.921
wistful,54,47,16.027
lowering energy,54,48,12.861
far quieter,54,48,12.170
mutters,54,46,15.951
speeding up excitedly,54,46,14.638
in wonder,54,48,16.268
no longer sleepily,53,47,11.899
words slowing down,53,47,15.619
thoughtful,53,42,15.580
voice rising steadily,53,42,14.030
no longer speaking quickly,53,49,13.324
jovially,53,45,13.579
mischievously,53,44,15.586
increasingly anxious,53,48,12.128
dropping to whisper,53,47,14.299
strikingly assertive,53,48,10.974
methodically,53,46,14.761
each word landing heavier and heavier,53,44,13.325
explosively,53,44,13.567
warmer tone,53,48,14.889
voice rising with pride,53,44,14.227
briefly louder,52,44,11.951
hollow,52,44,14.614
brighter,52,45,15.873
mocking tone,52,44,16.400
defensive tone,52,43,14.636
determined whisper,52,48,16.729
perking up,52,43,15.578
disgusted,52,45,18.272
intensely,52,46,14.156
fading out at the end of the sentence,52,46,12.493
wistful sigh,52,46,17.107
getting happier,52,46,12.437
becoming more formal and precise,52,43,14.316
growling,52,47,13.917
no longer whispering,52,47,11.780
very melodic,52,50,12.588
tone getting more evil,52,47,14.104
forceful,52,47,13.268
slightly deeper,52,45,13.535
words growing colder and more detached,52,46,13.708
jokingly,52,47,13.372
almost whispering,52,44,14.648
words getting lighter and more playful,51,43,12.869
voice lifting higher,51,45,15.155
less formal,51,44,12.208
breaking down,51,41,16.443
delighted gasp,51,43,15.644
soft exhale,51,45,16.865
breathlessly excited,51,42,14.988
respectfully,51,42,13.120
tone warming into affection,51,42,11.961
slightly calmer,51,46,17.081
higher energy,51,48,11.239
less confidently,51,43,12.670
more thoughtfully,51,44,14.933
flat,51,48,13.421
gravely,51,43,15.017
rushed,51,44,12.547
"starting neutral, becoming defensive",50,45,13.169
excited whisper,50,45,15.634
small voice,50,43,14.843
rising pitch,50,47,15.850
evil,50,42,13.102
trailing off sadly,50,43,13.004
hushed reverence,50,45,15.266
tone softening into apology,50,42,13.638
more earnestly,50,40,14.735
each word getting more excited,50,45,12.002
"normal voice, sighing",50,43,14.984
shifting into exaggerated politeness,50,47,13.578
voice building,50,43,13.613
voice rising hopefully,49,42,12.941
voice faltering,49,41,14.679
voice growing distant,49,43,15.064
shaking voice,49,43,16.399
moved,49,43,16.292
weary sigh,49,45,16.676
whispered intensity,49,45,15.563
nostalgic tone,49,38,15.462
boisterously,49,45,12.183
more shakily,49,44,14.194
whispers conspiratorially,49,46,16.413
crying,49,45,14.568
melodically,49,42,14.794
fiercely,49,44,12.774
powerfully,49,43,12.711
instructively,49,43,15.468
sternly,49,45,13.021
brief pause,49,39,13.165
resolutely,49,44,12.826
practically singing,49,40,15.664
voice dancing with joy,49,42,15.729
evil voice,49,45,12.923
"normal voice, encouraging",49,41,13.506
more bitterly,48,39,15.066
straining,48,43,14.824
icily,48,42,13.329
bursting with laughter,48,40,15.694
sheepishly,48,42,15.507
suspiciously,48,45,16.818
speeding up with enthusiasm,48,45,13.332
deliberately,48,44,13.136
building volume,48,43,15.487
voice trembling slightly,48,43,14.253
tired sigh,48,40,16.013
pleasantly,48,41,13.240
long pauses after each word,47,45,16.060
voice sharpening,47,38,14.095
amazed whisper,47,41,15.538
excitedly faster,47,41,14.437
supportively,47,43,14.251
jubilant,47,40,15.277
tentatively,47,44,13.771
building to crescendo,47,46,16.233
becoming steadier and more composed,47,36,14.014
cracking,47,39,13.094
chuckles nervously,47,44,16.715
sighing heavily,47,42,15.035
voice steadying,47,44,14.050
helpful,47,38,19.119
flat tone,47,44,13.059
irritated,46,43,16.728
suddenly worried,46,42,15.394
cynically,46,39,13.983
snickering,46,41,15.755
confident,46,33,16.079
voice rising desperately,46,40,13.970
more serious,46,43,15.504
voice becoming warmer,46,36,13.998
confirming,45,40,17.939
shaking,45,39,15.737
silky smooth,45,40,17.467
acidly,45,42,12.891
gruffly,45,41,12.027
gravelly voice,45,38,13.874
hurriedly,45,39,12.277
mockingly sweet,45,38,17.475
exhales,45,41,17.184
suddenly remembering,45,40,16.380
getting faster each word,45,42,13.507
accusatory,45,40,13.403
creepy,44,39,12.981
casual tone,44,42,12.019
hopeful tone,44,40,15.454
choking sob,44,35,15.910
desperate,44,39,14.844
as if ordering soldiers,44,41,11.347
more frantically,44,39,13.775
explosive laugh,44,42,15.311
nostalgically,44,37,16.603
smoothly,44,38,14.497
roughly,44,41,13.267
thinking pause,44,39,14.018
joking voice,44,40,12.652
hoarsely,44,41,12.743
sarcastic tone,43,38,13.800
commandingly,43,38,12.059
lilting,43,37,13.024
scoffing laugh,43,41,13.885
ending in delighted laughter,43,41,15.161
overjoyed,43,38,14.881
contemplative pause,43,39,14.743
urgent whisper,43,39,14.805
regretfully,43,39,13.712
silky tone,43,41,13.682
measured,43,38,13.500
exuberant,43,38,14.688
