idx,wav_path,original_filename,script_content
17,wavs/017.wav,693c79d60bee6_12410_collection_122_123.wav,"[anxiously] Em, maybe I should start with the mountain climbing story instead of— [ughh] no, no that's too cliché [words getting lighter and more playful] unless I flip it and talk about choosing NOT to climb every mountain."
18,wavs/018.wav,693c79d60bee6_12410_collection_122_140.wav,"[quick jittery bursts] My pulse is racing, thoughts scattered everywhere, [sneeze] this dusty auditorium isn't helping, [sleepily] though after three decades of lectures, I could nap anywhere except today."
19,wavs/019.wav,693c79d60bee6_12410_collection_122_2.wav,"The receipt is somewhere in my purse, just give me a second to find it because I know I kept it with all my other papers."
20,wavs/020.wav,693da82759ac2_31817_collection_218_95.wav,"[languidly] Okay, but listen... Emma's executing a beautiful inside maneuver around the bounce house, [hum playfully] maintaining perfect form despite the frosting between her fingers, [no longer quiet] AND SHE'S TAKEN THE LEAD!"
21,wavs/021.wav,693c79d60bee6_12410_collection_122_117.wav,"[wearily] Yeah yeah, I get paid either way but [whoop] that joke about the banker! [Starting smooth, ending in a growl] Reminds me why I picked this particular profession."
22,wavs/022.wav,693c79d60bee6_12410_collection_122_109.wav,[exasperated] I don't know—therapy maybe? [sharp exhale] Life coaching? Anything where you don't cold call people who clearly aren't interested? [Groans] This is getting genuinely depressing now.
23,wavs/023.wav,693c79d60bee6_12410_collection_122_115.wav,"[Theatrically] What a magnificent Tuesday afternoon crowd! [wheeze weakly] Can't breathe from laughing [starting slow, then getting quick] but seriously need to check the rooftop angles, confirm escape routes, mhm mhm, standard protocol."
24,wavs/024.wav,693c79d60bee6_12410_collection_122_114.wav,"[flowing speech] You know what's funny about this job — [scoff] — sometimes you're calculating wind trajectories [while laughing] and then boom, a street magician pulls a rabbit from nowhere."
25,wavs/025.wav,693c79d60bee6_12410_collection_122_154.wav,"[In a theatric] These gates are truly a-door-able, and you fine gentlemen are the key to my heart! [words getting lighter and more playful] Perhaps you could unlock a little passage for a humble entertainer?"
26,wavs/026.wav,693c79d60bee6_12410_collection_122_103.wav,[deadpan] Your employment situation isn't really my concern. [more slowly] I get twelve calls like this every single day. [Sighs heavily] Why should yours be any different from the others?
27,wavs/027.wav,693c79d60bee6_12410_collection_122_149.wav,"[Filipino accent, disgusted] There it is—the true face of Spanish mercy. [voice heavy with defeat] Always threats beneath the promises. [quietly determined] I accept your terms, but know this—one day, these islands will be free from you."
28,wavs/028.wav,693c79d60bee6_12410_collection_122_125.wav,"[in posh voice] ""Maximize your potential"" sounds so corporate, so [tsk] predictable [casually] — what if I just tell them about my spectacular failure last Tuesday?"
29,wavs/029.wav,693c79d60bee6_12410_collection_122_130.wav,"[Croaking] My voice is going [quickly] but eh, vulnerability on stage [chew noisily] might be exactly what connects us all today."
30,wavs/030.wav,693c79d60bee6_12410_collection_122_144.wav,"[Filipino accent, steady voice] My family has nothing to hide from tyrants. [pause] [voice cracking slightly] But can you say the same? [whispered urgently] The other encomenderos, they talk about your private dealings with the Dutch merchants."
31,wavs/031.wav,693c79d60bee6_12410_collection_122_215.wav,[Lisping] Will you marry— [oof] damn this retainer! [irate] Why did I schedule dental work this week of all weeks?!
32,wavs/032.wav,693c79d60bee6_12410_collection_122_131.wav,"[doubtful expression] Did I really contribute to this moment, or [tone turning mocking halfway through] am I just another professor claiming credit for natural genius? [giggle] But damn, look at her shine!"
33,wavs/033.wav,693c79d60bee6_12410_collection_122_16.wav,"The website said three to five business days for engraving but I need this by Saturday for her graduation party, so is rush service available?"
34,wavs/034.wav,693da82759ac2_31817_collection_218_91.wav,"[flowing speech] And they're off! Little Timmy rounds the coffee table at breakneck speed, [grunt] chocolate cake debris trailing in his wake like a delicious dust cloud, [suddenly dropping in pitch] with Emma closing fast on the inside rail clutching what appears to be... is that Grandma's purse?"
35,wavs/035.wav,693c79d60bee6_12410_collection_122_153.wav,"My lute isn't a weapon, it has no strings attached! [starting neutral, becoming defensive] Well, technically it does have strings, but [gasp for breath] you know what I mean!"
36,wavs/036.wav,693c79d60bee6_12410_collection_122_211.wav,"[authoritatively] Listen up, beautiful— [suddenly high energy] NO THAT'S WRONG! [groan] She's not a recruit, you idiot, she's the love of your life!"
37,wavs/037.wav,693da82759ac2_31817_collection_218_392.wav,"[bitter laugh] Adorable? [voice cracking] You have no idea what I've become, what I've lost to this curse! [quieter] Every transformation tears me apart—body and soul. Don't patronize me with your centuries of comfortable immortality, parasite."
38,wavs/038.wav,693c79d60bee6_12410_collection_122_133.wav,"[in masculine voice] My wife always said I get too attached, but [hum thoughtfully] how can you not when you witness transformation like this, [giggle] it's absolutely intoxicating!"
39,wavs/039.wav,693da82759ac2_31817_collection_218_93.wav,"[pensively] So, anyway... we've got a pile-up near the gift table, [strain] three toddlers down in a tangle of wrapping paper, [long pauses after each word] and nobody's crying yet."
40,wavs/040.wav,693c79d60bee6_12410_collection_122_14.wav,I'm thinking maybe the script font would look nicer than the block letters but I'd like to see samples of both before I decide on one.
41,wavs/041.wav,693c79d60bee6_12410_collection_122_172.wav,"[overly polite] Excuse me, Senator, if I may just— [cough] sorry about that— [compassionately] the families deserve to know why you voted against the relief fund, don't they?"
42,wavs/042.wav,693c79d60bee6_12410_collection_122_151.wav,"[exhale] Look, I know you think I'm trying to pull the wool over your eyes, but I'm just a sheep admirer! [suddenly quiet] I swear I'm not trying to fleece anyone here."
43,wavs/043.wav,693c79d60bee6_12410_collection_122_136.wav,"[mumbling plead] Don't let this be a dream, please, [visibly nervous] my heart can't take much more of this anticipation but [weep] there's her name engraved in gold forever..."
44,wavs/044.wav,693c79d60bee6_12410_collection_122_127.wav,"[declaring scornfully] Those recycled quotes about grinding 24/7? [cute laugh] Please, even machines need maintenance [sigh contentedly] — balance is the real power move."
45,wavs/045.wav,693c79d60bee6_12410_collection_122_174.wav,"Look, what I mean is [jealous] Anderson Cooper doesn't have to cover pumpkin festivals and spelling bees [monotone] while pretending it's breaking news."
46,wavs/046.wav,693c79d60bee6_12410_collection_122_179.wav,"[very excited] Breaking news, folks! [raspy] The hostages are coming out! [relieved] All twelve of them walking on their own power— [melancholic] wait, there should be thirteen."
47,wavs/047.wav,693c79d60bee6_12410_collection_122_142.wav,"[Normal voice, frustrated] Ugh, I keep making the accent too subtle. [deep breath] [Filipino accent, bitterly] Progress? [scoff] You mean slavery dressed in pretty words? [voice rising sharply] You destroy our barangays and call it improvement while you steal our gold!"
48,wavs/048.wav,693c79d60bee6_12410_collection_122_101.wav,"[monotone] I'm sure you do have case studies. [slower pace] Everyone has case studies these days. [Yawns] My calendar is completely booked through next quarter, maybe even longer than that."
49,wavs/049.wav,693c79d60bee6_12410_collection_122_158.wav,I'm not trying to gate-crash your party! [In croaky yell] I have legitimate business! [getting sleepy] Though explaining it is becoming quite exhausting...
